frame_length,rssi,packet_rate,duration,src_mac_freq,dst_mac_freq,deauth_count,label
30,-50.7,447.5,17,37,68,73,1
299,-69.0,86.7,84,4,2,1,0
510,-63.7,54.2,48,6,8,0,0
484,-58.7,53.2,86,3,5,4,0
628,-44.5,362.9,160,66,6,4,0
36,-35.3,152.8,0,139,70,153,1
974,-54.4,311.0,140,37,2,11,0
202,-75.1,111.7,82,5,10,2,0
45,-47.1,129.5,0,160,91,84,1
665,-43.5,32.5,141,9,5,1,0
653,-85.7,190.4,153,3,7,2,0
43,-48.6,424.4,0,106,71,73,1
309,-70.8,151.9,137,6,6,0,0
724,-70.2,238.6,137,6,7,2,0
94,-64.4,135.8,168,4,11,2,0
24,-48.9,158.4,8,122,130,26,1
420,-59.9,304.0,129,40,6,18,0
98,-53.0,80.9,11,86,117,6,1
24,-39.6,396.3,0,123,84,144,1
35,-53.4,227.1,0,94,43,8,1
39,-54.6,478.9,27,127,40,257,1
916,-59.6,33.9,147,5,6,1,0
1037,-58.8,118.1,33,3,6,0,0
28,-43.2,419.8,0,48,125,158,0
641,-62.8,61.5,98,6,3,1,0
48,-34.3,346.2,18,121,140,157,1
440,-76.2,149.5,118,7,5,0,0
101,-44.3,164.4,3,102,25,29,1
201,-44.1,130.2,9,187,68,39,1
51,-46.5,786.7,8,51,59,156,1
455,-65.3,212.1,0,10,4,22,0
40,-79.6,66.1,94,7,7,2,0
652,-40.8,112.5,163,7,6,1,0
807,-61.0,100.0,216,5,5,1,0
95,-73.2,149.9,16,73,10,8,1
686,-73.4,28.9,95,4,4,1,0
183,-28.0,124.2,120,1,11,0,0
636,-52.7,64.2,193,6,12,2,0
1098,-89.8,19.1,77,3,9,1,0
45,-46.3,375.7,8,15,80,132,1
856,-52.4,83.1,150,4,7,2,0
904,-70.3,123.2,175,61,7,13,0
41,-32.0,319.8,22,119,15,98,1
40,-59.9,75.6,249,5,5,1,0
41,-44.3,573.6,20,142,55,203,1
741,-52.2,74.7,124,2,3,1,0
51,-67.2,109.7,81,2,7,2,0
1222,-38.1,381.8,132,40,4,18,0
120,-60.3,72.7,72,6,6,0,0
646,-80.2,172.4,181,6,7,0,0
830,-51.5,110.7,86,3,5,0,0
47,-38.5,485.1,16,123,57,239,1
290,-56.0,91.0,92,7,5,2,0
33,-39.1,270.9,4,15,138,76,1
102,-43.4,251.9,124,7,6,5,0
48,-34.2,391.3,9,87,10,163,1
496,-69.3,104.7,193,9,4,0,0
113,-40.1,210.7,0,137,16,28,1
354,-72.0,72.1,71,9,6,0,0
680,-61.0,30.5,199,7,5,4,0
728,-73.8,32.7,68,7,3,0,0
24,-54.1,491.3,13,108,56,209,1
43,-57.4,286.2,18,64,122,248,1
405,-30.2,158.4,303,33,9,23,0
1144,-62.2,112.8,87,11,6,2,0
50,-49.6,271.6,0,65,56,58,1
559,-71.1,60.4,43,5,3,1,0
24,-52.2,339.9,0,105,89,8,1
35,-49.8,146.4,21,158,10,84,1
70,-58.6,12.3,284,9,12,3,0
234,-39.0,69.0,247,8,3,1,0
533,-42.2,35.2,109,7,7,0,0
767,-50.0,18.3,103,6,9,1,0
295,-54.4,112.7,131,2,5,2,0
614,-68.3,28.0,155,2,10,1,0
24,-60.0,125.1,12,156,64,19,1
484,-43.5,60.3,42,4,7,0,0
38,-28.5,706.1,11,59,51,103,1
41,-44.1,315.1,5,123,92,91,1
525,-42.5,83.3,145,5,6,2,0
43,-44.4,256.2,0,76,99,149,1
682,-49.6,205.4,65,5,4,0,0
474,-87.6,33.4,0,4,5,0,0
524,-56.1,56.1,124,5,10,4,0
930,-56.9,89.8,103,8,11,1,0
647,-54.3,15.4,172,4,6,0,0
695,-61.5,156.2,132,12,8,1,0
40,-55.7,26.2,97,9,11,0,0
27,-47.7,526.7,6,175,80,84,1
108,-41.2,216.8,14,115,21,20,1
97,-38.4,171.4,10,108,25,26,1
24,-53.5,181.3,19,44,36,158,1
48,-36.6,438.9,8,111,93,182,1
571,-28.1,41.2,152,9,4,1,0
313,-55.9,49.7,110,8,5,0,0
534,-59.4,273.9,19,48,5,19,0
36,-47.8,447.6,0,253,63,105,1
41,-47.4,535.3,4,132,65,72,1
24,-48.2,60.0,11,97,94,26,1
46,-45.7,504.9,2,40,34,33,1
636,-66.6,82.4,10,8,4,4,0
820,-46.8,237.3,72,62,4,14,0
582,-62.0,19.8,15,10,6,1,0
48,-38.8,183.1,1,171,24,123,1
29,-42.0,145.8,0,39,60,6,1
944,-48.0,36.7,157,7,6,0,0
1000,-75.3,95.7,150,7,9,1,0
34,-31.9,512.3,7,166,20,120,1
33,-41.6,360.3,9,162,94,69,1
1023,-47.3,240.1,151,9,3,3,0
594,-57.1,124.0,203,32,7,15,0
96,-51.9,195.9,15,70,33,15,1
1281,-65.7,207.0,155,4,3,0,0
440,-57.4,25.0,286,4,8,3,0
25,-47.9,531.3,2,135,62,162,1
541,-55.2,127.4,125,3,6,1,0
